Track name, Artist name, Album, Playlist name, Type, ISRC
Ballu logudoresu (Cuntzertu: Mediana in Si bemolle),Efisio Melis,A launeddas (I maestri delle launeddas 1),31 goodbye,Playlist track,ITI401155113
Tout Suite No. 1 In f Major - 2. Mov.,Moondog,Sax Pax For A Sax,31 goodbye,Playlist track,DEC169400026
Polychords,Matmos,Supreme Balloon,31 goodbye,Playlist track,USMTD0879902
What'cha Gonna Do About It - Single Version,Doris Troy,Sings Just One Look And Other Memorable Selections,31 goodbye,Playlist track,USAT20400051
Crimson And Clover,The Uniques,Trojan Sixties Box Set,31 goodbye,Playlist track,GBAJE0300497
Baby Snakes,Frank Zappa,Baby Snakes,31 goodbye,Playlist track,USZPE1200341
Spread Eagle Cross the Block,Death Grips,Ex Military,31 goodbye,Playlist track,TCABE1223136
Pressure Drop,Toots & The Maytals,Toots & The Maytals - Pressure Drop,31 goodbye,Playlist track,GBSWE0702914
Jah Is Mighty,Bob Marley & The Wailers,Best Of,31 goodbye,Playlist track,USA560619776
Night And Day,The Maytals,The Best Of,31 goodbye,Playlist track,GBAJE6800241
Green Bricks,Zach Hill,FACE TAT,31 goodbye,Playlist track,USQY51062171
Rude Boy Train,Desmond Dekker,Early Dekker,31 goodbye,Playlist track,EGA130003792
Aurora Borealis,Meat Puppets,II,31 goodbye,Playlist track,USME31100799
Coffin Nails,MF DOOM,"Metal Fingers Presents: Special Herbs, The Box Set Vol. 0 - 9",31 goodbye,Playlist track,USHKR0912023
Elevator,Beak>,> >,31 goodbye,Playlist track,GBHYY1200027
Short Road,Wax Stag,Wax Stag,31 goodbye,Playlist track,GBPUP0810021
Caution - 1970 version,Bob Marley & The Wailers,"Fy-ah, Fy-ah",31 goodbye,Playlist track,GBFWU0300397
Yatton,Beak>,> >,31 goodbye,Playlist track,GBHYY1200021
Rhymes Like Dimes,MF DOOM,Operation: Doomsday (Complete),31 goodbye,Playlist track,US2S71104003
Brown Metal,Hella,Hold Your Horse Is,31 goodbye,Playlist track,USKRS0301805
Burner in the Video,Zach Hill,FACE TAT,31 goodbye,Playlist track,USQY51062174
QKThr,Aphex Twin,Drukqs,31 goodbye,Playlist track,GBBPW0100153
Prep Gwarek 36,Aphex Twin,Drukqs,31 goodbye,Playlist track,GBBPW0100154
Eggdog,Beak>,> >,31 goodbye,Playlist track,GBHYY1200023
I'll Come Running - 2004 Digital Remaster,Brian Eno,Another Green World,31 goodbye,Playlist track,GBAAA0400079
free press and curl,Shabazz Palaces,Black Up,31 goodbye,Playlist track,USSUB1190001
White Awakening - Live,Les Rallizes Dénudés,"Double Heads, Vol. 1 [Live] (Remastered)",31 goodbye,Playlist track,USJ3V1225676
Red and Gold,MF DOOM,Operation: Doomsday (Complete),31 goodbye,Playlist track,US2S71104008
Dark Art,Zach Hill,Astrological Straits,31 goodbye,Playlist track,USA560792130
Ruby,Silver Apples,Contact,31 goodbye,Playlist track,USMC16811465
State Violence State Control,Discharge,Hear Nothing See Nothing Say Nothing,31 goodbye,Playlist track,GBAJE8200112
Time Division Multiplexing,Lucky Dragons,A Sewing Circle,31 goodbye,Playlist track,US8250710025
Laughing Quarter,Autechre,Envane,31 goodbye,Playlist track,GBBPW9700007
Vomitspit,MF DOOM,MM...FOOD,31 goodbye,Playlist track,USBWK0700050
At Midnight I'll Possess Your Corpse,Vampire,Vampire,31 goodbye,Playlist track,US4E41412304
The Nines,Lucky Dragons,A Sewing Circle,31 goodbye,Playlist track,US8250710047
The Comeback,Traxman,Bangs & Works Vol.1 (A Chicago Footwork Compilation),31 goodbye,Playlist track,US78Q1010298
"Triumph (feat. Ol' Dirty Bastard, Inspectah Deck, Method Man, Cappadonna, U-God, RZA, GZA, Masta Killa, Ghostface Killah & Raekwon)",Wu-Tang Clan,Wu-Tang Forever,31 goodbye,Playlist track,USLR59900487
Accelerated Yearning,Steve Hauschildt,Sequitur,31 goodbye,Playlist track,USNCB1217202
Bam Bam,Sister Nancy,One Two,31 goodbye,Playlist track,USA2P0804885
Rainbow in the Dark,Das Racist,Relax,31 goodbye,Playlist track,USME31101037
Son Of A Preacher Man,The Gaylettes,Trojan Sixties Box Set,31 goodbye,Playlist track,GBAJE6900561
Quantum Leap,John Maus,We Must Become the Pitiless Censors of Ourselves,31 goodbye,Playlist track,GBCEL1100157
Cavern,Liquid Liquid,Liquid Liquid,31 goodbye,Playlist track,USZXT0813821
True Love,Fred Frith,The 20th Anniversary Of The Summer Of Love,31 goodbye,Playlist track,USA560632001
Queen St. Gang,Arzachel,Arzachel,31 goodbye,Playlist track,FR6V80213547
Nautilus,Bob James,Rhodes Scholar: Jazz-Funk Classics 1974 - 1982,31 goodbye,Playlist track,USKO10501541
Name of the Game,Brian Bennett,Black Dynamite (Motion Picture Soundtrack),31 goodbye,Playlist track,USA370949443
What's For Dinner?,The King Khan & BBQ Show,What's For Dinner?,31 goodbye,Playlist track,USA3D0600062
Hill and Gully,The Gaylads,Sunshine Is Golden - Folk & Calypso,31 goodbye,Playlist track,QMFMF1317800
The Tide is High,The Paragons,On the Beach,31 goodbye,Playlist track,USSNN0910026
Groovin',Willie Mitchell,Solid Soul,31 goodbye,Playlist track,US2HK1336206
It Gets Funkier Ⅱ,Vulfpeck,Vollmilch,31 goodbye,Playlist track,TCABL1377323
Düsseldorf,La Düsseldorf,Electri_city - Elektronische Musik Aus Duesseldorf,31 goodbye,Playlist track,DEA619561420
Sample D.,Front 242,Backcatalogue,31 goodbye,Playlist track,USSM19201049
Take One,Front 242,Backcatalogue,31 goodbye,Playlist track,USSM19201051
Forward Pipes,Amps For Christ,Electrosphere,31 goodbye,Playlist track,USBY60600195
Verschwende Deine Jugend - 1998 Remastered Version,DAF,Gold Und Liebe,31 goodbye,Playlist track,GBAJH9800194
Disco Rough,Mathématiques Modernes,Les Visiteurs Du Soir,31 goodbye,Playlist track,GBHCD1153266
Takabva Kure Nehondo,Four Brothers,Early Hits Volume 2,31 goodbye,Playlist track,USA370912143
Last Night At The Jetty,Panda Bear,Tomboy,31 goodbye,Playlist track,US22N1113615
G Song,Terry Riley,Les Yeux Fermés / Lifespan,31 goodbye,Playlist track,USZM60700006
Bootsy What's the Name of This Town,Bootsy Collins,Bootsy? Player Of The Year,31 goodbye,Playlist track,USWB17800041
Little Umbrellas,Frank Zappa,Hot Rats,31 goodbye,Playlist track,USZPE0800054
"Moments In Love (7"" Master Rejected)",The Art Of Noise,"And What Have You Done With My Body, God? (Best of the Box)",31 goodbye,Playlist track,GBAHW0600146
FUNICULI FUNICULA,細野晴臣,PHILHARMONY,31 goodbye,Playlist track,
SPORTS MEN,細野晴臣,PHILHARMONY,31 goodbye,Playlist track,
Paris Tokyo,Mathématiques Modernes,Les Visiteurs Du Soir,31 goodbye,Playlist track,GBHCD1153262
The Little Man From Mars,Perrey and Kingsley,The Out Sound From Way In!,31 goodbye,Playlist track,USVG29552297
In the Night,Gary Wilson,Electric Endicott,31 goodbye,Playlist track,US78L1061305
This Must Be the Place (Naive Melody) - Live,Talking Heads,Stop Making Sense,31 goodbye,Playlist track,USWB19901894
Shut Up,The Monks,Black Monk Time,31 goodbye,Playlist track,USDEA0904202
I Can't Get Over You - Bonus Track,The Monks,Black Monk Time,31 goodbye,Playlist track,USDEA0904213
Higgle-Dy - Piggle-Dy,The Monks,Black Monk Time,31 goodbye,Playlist track,USDEA0904204
Monk Chant - Live Bonus Track,The Monks,Black Monk Time,31 goodbye,Playlist track,USDEA0904218
Brotherhood of Sisters,Black Moth Super Rainbow,Seefu Lilac,31 goodbye,Playlist track,QMDA71524274
Philosophy of the World,The Shaggs,"Songs in the Key of Z, Vol. 1: The Curious Universe of Outsider Music",31 goodbye,Playlist track,USCXG0900122
Blue Moon Baby,Dave 'Diddle' Day,The Roots Of The Cramps,31 goodbye,Playlist track,USA560986403
Street Woman,Ornette Coleman,The Complete Science Fiction Sessions,31 goodbye,Playlist track,USSM19930156
Hologram,Urinals,Negative Capability...Check it Out!,31 goodbye,Playlist track,US28W0410037
Night School (arr. E. Lievonen),Ere Lievonen,Zappa Album (The),31 goodbye,Playlist track,SEAEU0013010
Ack Ack Ack Ack,Urinals,Negative Capability...Check it Out!,31 goodbye,Playlist track,US28W0410043
Last Days of Man on Earth,Urinals,Negative Capability...Check it Out!,31 goodbye,Playlist track,US28W0410038
Please Don't Be Gentle with Me,Minutemen,Double Nickels on the Dime,31 goodbye,Playlist track,USA370538109
Under Mi Sensi,Barrington Levy,The Best Of Barrington Levy - Broader Than Broadway,31 goodbye,Playlist track,JMC260900002
Fopp,Ohio Players,20th Century Masters: The Millennium Collection: Best Of Ohio Players,31 goodbye,Playlist track,USPR37504012
Bend Down Low - 1968 Version,Bob Marley & The Wailers,Gold (1967 - 1972) [International Version],31 goodbye,Playlist track,GBFWU0400177
Do Gleat Her,Dog Leather,Greezy Man and Stinky Man Meets Smutty Ranks On Tarantula Hill,31 goodbye,Playlist track,USA2B1402446
All Over,Clancy Eccles,"Small Axe (The UK Upsetter Recordings, 1970 to 1972)",31 goodbye,Playlist track,GBUM71027239
Nifty Digits,Richard Harvey,KPM 1000 Series: Richard Harvey's Nifty Digits,31 goodbye,Playlist track,GBBHR0925109
Don't Let The Sun Catch You Crying,Dave Barker,"Small Axe (The UK Upsetter Recordings, 1970 to 1972)",31 goodbye,Playlist track,GBAJE7000309
Dead Bent,MF DOOM,Operation: Doomsday (Complete),31 goodbye,Playlist track,US2S71104016
Curls,Madvillain,Madvillainy,31 goodbye,Playlist track,US2S70465009
Rhinestone Cowboy,Madvillain,Madvillainy,31 goodbye,Playlist track,US2S70465022
Accordion,Madvillain,Madvillainy,31 goodbye,Playlist track,US2S70465002
All Caps,Madvillain,Madvillainy,31 goodbye,Playlist track,US2S70465020
Great Day,Madvillain,Madvillainy,31 goodbye,Playlist track,US2S70465021
It Gets Funkier III,Vulfpeck,My First Car,31 goodbye,Playlist track,TCACA1490368
It Gets Funkier,Vulfpeck,Mit Peck,31 goodbye,Playlist track,TCABC1197267
Groovin',Willie Mitchell,Solid Soul,31 goodbye,Playlist track,US2HK1336206
Liquid Swords,GZA,Liquid Swords,31 goodbye,Playlist track,USGF19581306
Bennington (2007),John Maus,A Collection of Rarities and Previously Unreleased Material,31 goodbye,Playlist track,GBCEL1200174
Green Fuz,The Green Fuz,The Roots Of The Cramps,31 goodbye,Playlist track,USA560986402
No Rule,The Leather Nun,Slow Death EP,31 goodbye,Playlist track,SEWRA7900101
State Violence State Control,Discharge,Decontrol: The Singles,31 goodbye,Playlist track,GBAJE8200112
Endless Blockade for Pussyfooter,Gis(m),P.E.A.C.E / War,31 goodbye,Playlist track,US2C60406802
Black Metal,Venom,Black Metal,31 goodbye,Playlist track,GBAJE8200082
Generator 1,Keith Fullerton Whitman,Generator,ARP,Playlist track,DEX260990386
St Tropez,Arp,In Light,ARP,Playlist track,NOX9X3312001
Lovergirls Precinct,Oneohtrix Point Never,Drawn and Quarteted,ARP,Playlist track,QMUJD1202026
Genetic,Emeralds,Does It Look Like I'm Here?,ARP,Playlist track,ATE691010105
Scratches on the Readable Surface,Caterina Barbieri,Patterns Of Consciousness,ARP,Playlist track,QMQQH1708732
Climbing Up,Cool Maritime,Sharing Waves,ARP,Playlist track,QMHG41823002
Lifeblood,Huerco S.,For Those Of You Who Have Never (And Also Those Who Have),ARP,Playlist track,USYBL1600455
Occultation of... - Mat Steel Extended Remix,Mark Fell,Manitutshu,ARP,Playlist track,ATE691111610
Pain,Pat Hervey,The Girl Next Door,SARAH,Playlist track,USA371236848
Water Wheel One,Julian Lynch,Terra,SARAH,Playlist track,USA561153274
Solemn Swears,Shabazz Palaces,Lese Majesty,SARAH,Playlist track,USSUB1404404
Black Hole,Urinals,Negative Capability...Check it Out!,SARAH,Playlist track,US28W0410040
G Song,Terry Riley,Les Yeux Fermés / Lifespan,SARAH,Playlist track,USZM60700006
Ballu logudoresu (Cuntzertu: Mediana in Si bemolle),Efisio Melis,A launeddas (I maestri delle launeddas 1),SARAH,Playlist track,ITI401155113
Do You Know Your Butcher,Prinzhorn Dance School,Prinzhorn Dance School,SARAH,Playlist track,US4GE0700022
All Over,Clancy Eccles,"Small Axe (The UK Upsetter Recordings, 1970 to 1972)",SARAH,Playlist track,GBUM71027239
y side - 12XU,Wire,Twelve Times You,SARAH,Playlist track,GBMAE0101002
Little Umbrellas,Frank Zappa,Hot Rats,SARAH,Playlist track,USZPE0800054
The Little Man From Mars,Perrey and Kingsley,The Out Sound From Way In!,SARAH,Playlist track,USVG29552297
Last Night At The Jetty,Panda Bear,Tomboy,SARAH,Playlist track,US22N1113615
Greif Nach Den Sternen - 1998 Remastered Version,DAF,Gold Und Liebe,SARAH,Playlist track,GBAJH9800195
Nifty Digits,Richard Harvey,KPM 1000 Series: Richard Harvey's Nifty Digits,SARAH,Playlist track,GBBHR0925109
Sophisticated lady,Gelbart,Four Track Improvisations,SARAH,Playlist track,QMPKX1315294
Don't Let The Sun Catch You Crying,Dave Barker,"Small Axe (The UK Upsetter Recordings, 1970 to 1972)",SARAH,Playlist track,GBAJE7000309
Little Umbrellas,Frank Zappa,Hot Rats,Little Umbrellas,Playlist track,USZPE0800054
Street Woman,Ornette Coleman,The Complete Science Fiction Sessions,Little Umbrellas,Playlist track,USSM19930156
Hologram,Urinals,Negative Capability...Check it Out!,Little Umbrellas,Playlist track,US28W0410037
Fort Collins,Julian Lynch,Terra,Little Umbrellas,Playlist track,USA561153272
Night School (arr. E. Lievonen),Ere Lievonen,Zappa Album (The),Little Umbrellas,Playlist track,SEAEU0013010
Magic,Emeralds,Solar Bridge,Little Umbrellas,Playlist track,USA2Z1111568
Make It Easy On Yourself,The Walker Brothers,Gold - Burt Bacharach & Friends,spinning away,Playlist track,USPR36509119
all the flowers,Bibio,Ambivalence Avenue,spinning away,Playlist track,GBBPW0900003
Storms That Breed,Weyes Blood,The Outside Room,spinning away,Playlist track,USA2Z1110595
Popularity,Sparks,In Outer Space,spinning away,Playlist track,USSK40710095
Spinning Away,Brian Eno,Wrong Way Up,spinning away,Playlist track,USRY20517339
Ruby,Silver Apples,Contact,spinning away,Playlist track,USMC16811465
Thumper,Dan Friel,Total Folklore,spinning away,Playlist track,USTJ21332408
Searching For Mr Right,Young Marble Giants,Colossal Youth,spinning away,Playlist track,GBCEL0700241
Aurora Borealis,Meat Puppets,II,spinning away,Playlist track,USME31100799
2 Little Skeletons,Minimal Man,Safari,spinning away,Playlist track,US9HX1000009
Panic Holiday,Country Teasers,The Empire Strikes Back,spinning away,Playlist track,USA3D0600019
Woof Woof,Dan Deacon,Bromst,Bouncer,Playlist track,US22N0904808
The Electrician,The Walker Brothers,Nite Flights,Bouncer,Playlist track,GBBBM7800014
Treetop Drive Part 2,Deathprod,Sampler From Voice Of Wonder / Metal Art Disco,Bouncer,Playlist track,NOFVM0404020
Goo,Juan Wauters,N.A.P. North American Poetry,Happy But On My Way,Playlist track,QMMZN1300526
The Fuzz,Roy Ayers,Ubiquity,Happy But On My Way,Playlist track,USUR10300255
Last Night At The Jetty,Panda Bear,Tomboy,Happy But On My Way,Playlist track,QM2CM1500089
Mari,Martin Rev,Martin Rev,Happy But On My Way,Playlist track,US29V0527901
The Dragon Song,The Lonesome Organist,Collector of Cactus Echo Bags,Happy But On My Way,Playlist track,USTJ20304409
It Gets Funkier III,Vulfpeck,My First Car,Happy But On My Way,Playlist track,TCACA1490368
Happy But On My Way,The Beets,Spit In The Face Of People Who Don't Want To Be Cool,Happy But On My Way,Playlist track,USA2Z1310310
Burner in the Video,Zach Hill,FACE TAT,Happy But On My Way,Playlist track,USQY51062174
Im Zoo,Pyrolator,Wunderland (plus Bonustracks),Happy But On My Way,Playlist track,DEK330593011
Just One Look,Doris Troy,Sings Just One Look And Other Memorable Selections,Happy But On My Way,Playlist track,USAT20001011
Yang Yang,Anika,Anika,Happy But On My Way,Playlist track,US2S71161002
I Can't Get Over You - Bonus Track,The Monks,Black Monk Time,Happy But On My Way,Playlist track,USDEA0904213
Norton Computer for Peace,Doris Norton,Nortoncomputerforpeace,Happy But On My Way,Playlist track,ITI431000322
Alive in the Sea of Information,Emeralds,What Happened,#1 YOGA JOCK JAMS,Playlist track,USH7C0910001
Descending Moonshine Dervishes,Terry Riley,Riley: Descending Moonshine Dervishes,#1 YOGA JOCK JAMS,Playlist track,DEA748200201
Magic,Emeralds,Solar Bridge,#1 YOGA JOCK JAMS,Playlist track,USA2Z1111568
The Quaking Mess,Emeralds,Solar Bridge,#1 YOGA JOCK JAMS,Playlist track,USA2Z1111569
Living Room,Emeralds,What Happened,#1 YOGA JOCK JAMS,Playlist track,USH7C0910004
Disappearing Ink,Emeralds,What Happened,#1 YOGA JOCK JAMS,Playlist track,USH7C0910005
Horse Sings from Cloud,Pauline Oliveros,Accordion & Voice,#1 YOGA JOCK JAMS,Playlist track,QMQQH1404525
Bismillahi 'Rrahmani 'Rrahim,Harold Budd,The Pavilion Of Dreams,#1 YOGA JOCK JAMS,Playlist track,GBAAA7800295
Gotta Get Up - Remastered,Harry Nilsson,Nilsson Schmilsson,Sunny 70s,Playlist track,USRC10301750
Outro,Vulfpeck,Vollmilch,Sunny 70s,Playlist track,TCABL1377319
Could Heaven Ever Be Like This,Idris Muhammad,Turn This Mutha Out,Sunny 70s,Playlist track,USSM11405937
G Song,Terry Riley,Les Yeux Fermés / Lifespan,Sunny 70s,Playlist track,USZM60700006
